# frequency radius F_z
13825.5 0.0141342 5.65568884155379e-12
13825.5 0.0142617 5.95726037132725e-12
13825.5 0.0143893 6.27027117096929e-12
13825.5 0.0145168 6.59484836972396e-12
13825.5 0.0146443 6.93109830959863e-12
13825.5 0.0147718 7.27910509075164e-12
13825.5 0.0148993 7.63892915395349e-12
13825.5 0.0150268 8.01060591326679e-12
13825.5 0.0151544 8.39414445254300e-12
13825.5 0.0152819 8.78952629964786e-12
13825.5 0.0154094 9.19670429248144e-12
13825.5 0.0155369 9.61560155083965e-12
13825.5 0.0156644 1.00461105679554e-11
13825.5 0.0157919 1.04880924351512e-11
13825.5 0.0159195 1.09413762124202e-11
13825.5 0.016047 1.14057584569239e-11
13825.5 0.0161745 1.18810029203584e-11
13825.5 0.016302 1.23668404248927e-11
13825.5 0.0164295 1.28629689259346e-11
13825.5 0.016557 1.33690537683491e-11
13825.5 0.0166846 1.38847281409534e-11
13825.5 0.0168121 1.44095937321697e-11
13825.5 0.0169396 1.49432215876536e-11
13825.5 0.0170671 1.54851531685716e-11
13825.5 0.0171946 1.60349016070023e-11
13825.5 0.0173221 1.65919531527235e-11
13825.5 0.0174497 1.71557688034611e-11
13825.5 0.0175772 1.77257861085511e-11
13825.5 0.0177047 1.83014211339486e-11
13825.5 0.0178322 1.88820705746349e-11
13825.5 0.0179597 1.94671139987775e-11
13825.5 0.0180872 2.00559162065008e-11
13825.5 0.0182148 2.06478296848730e-11
13825.5 0.0183423 2.12421971397191e-11
13825.5 0.0184698 2.18383540841570e-11
13825.5 0.0185973 2.24356314633256e-11
13825.5 0.0187248 2.30333582946449e-11
13825.5 0.0188523 2.36308643031177e-11
13825.5 0.0189799 2.42274825316281e-11
13825.5 0.0191074 2.48225519069289e-11
13825.5 0.0192349 2.54154197429860e-11
13825.5 0.0193624 2.60054441645679e-11
13825.5 0.0194899 2.65919964353908e-11
13825.5 0.0196174 2.71744631767198e-11
13825.5 0.019745 2.77522484640655e-11
13825.5 0.0198725 2.83247757914559e-11
13825.5 0.02 2.88914898946713e-11

15100.7 0.001 8.55899835566621e-19
15100.7 0.00112752 1.75949917182475e-18
15100.7 0.00125503 3.34840704732377e-18
15100.7 0.00138255 5.98789667482708e-18
15100.7 0.00151007 1.01736203910744e-17
15100.7 0.00163758 1.65598284990133e-17
15100.7 0.0017651 2.59905077593290e-17
15100.7 0.00189262 3.95334922368065e-17
15100.7 0.00202013 5.85176037373351e-17
15100.7 0.00214765 8.45728835442579e-17
15100.7 0.00227517 1.19673981570852e-16
15100.7 0.00240268 1.66186773360156e-16
15100.7 0.0025302 2.26918279575473e-16
15100.7 0.00265772 3.05169966705394e-16
15100.7 0.00278523 4.04794511618519e-16
15100.7 0.00291275 5.30256116335790e-16
